,module_0,module_1,module_2,module_3,module_4,module_5,module_6,module_7,module_8,module_9,module_10,module_11,module_12,module_13,module_14,module_15,module_16,module_17,module_18,module_19,module_20,module_21,module_22,module_23,module_24,module_25,module_26,module_27,module_28,module_29,module_30,module_31,module_32,module_33,module_34,module_35,module_36,module_37,module_38,module_39,module_40,module_41,module_42,module_43,module_44,module_45,module_46,module_47,module_48,module_49,module_50,module_51,module_52,module_53,module_54,module_55,module_56,module_57,module_58,module_59,module_60,module_61,module_62,module_63,module_64,module_65,module_66,module_67,module_68,module_69,module_70,module_71,module_72,module_73,module_74,module_75,module_76,module_77,module_78,module_79,module_80,module_81,module_82,module_83,module_84,module_85,module_86,module_87,module_88,module_89,module_90,module_91,module_92,module_93,module_94,module_95,module_96,module_97,module_98,module_99,module_100,module_101,module_102,module_103,module_104,module_105,module_106,module_107,module_108,module_109,module_110,module_111,module_112,module_113,module_114,module_115,module_116,module_117,module_118,module_119,module_120,module_121,module_122,module_123,module_124,module_125,module_126,module_127,module_128,module_129,module_130,module_131,module_132,module_133,module_134,module_135,module_136,module_137,module_138,module_139,module_140,module_141,module_142,module_143,module_144,module_145,module_146,module_147,module_148,module_149,module_150,module_151,module_152,module_153,module_154,module_155,module_156,module_157,module_158,module_159,module_160,module_161,module_162,module_163,module_164,module_165,module_166,module_167,module_168,module_169,module_170,module_171,module_172,module_173,module_174,module_175,module_176,module_177,module_178,module_179,module_180,module_181,module_182,module_183,module_184,module_185,module_186,module_187,module_188,module_189,module_190,module_191,module_192,module_193,module_194,module_195,module_196,module_197,module_198,module_199,module_200,module_201,module_202,module_203,module_204,module_205,module_206,module_207,module_208,module_209,module_210,module_211,module_212,module_213,module_214,module_215,module_216
10,ADH1C,RANBP6,PAFAH1B2,VIL1,ATP10B,ZMYM4,LAP3,FOCAD,TPI1,RPL24P4,BRD3,ACAT1,BTRC,SPON1,CAAP1,RNF146,LRRN3,MALT1,PTPN4,ACTN2,TGIF1,TTLL7,ZC2HC1A,PPP2CA,THTPA,SEC11A,PCDHGC3,ZNF227,IRF2,TAC3,NDUFB3,GTF2H4,CCPG1,EIF3M,EIF3D,BAALC-AS1,SSTR4,PEX19,SLC44A1,TMEM212,ZNF451,THOC2,TAS2R10,SLC17A5,SPSB1,LEF1,ACSS3,HEBP1,UST,KIF21B,MXRA7,NIPSNAP1,GRAMD1C,CUL3,LMO7,SNCB,RGS4,DSC1,SLC7A10,DLGAP1,CDH16,SCN3B,LINC01619,EPHB6,CNNM1,PRKCB,SERPINA10,SECISBP2L,SSX8P,PRR3,RHCG,GART,POMGNT1,PRSS50,HIVEP1,TMEM131L,MUC1,GPRC5A,OR7E19P,DPYSL4,SLIT1,RPE65,KNOP1,MPPED2,EVL,TDO2,BRCC3,TCF7L2,JHY,COX7A2,MRPL39,POT1,ZNF197,DNALI1,KCMF1,ITGB1BP1,SNRPB2,DNAAF2,GTF2A1L,PSORS1C1,ELANE,VPS37B,CCL13,ISOC2,RANGRF,CRYBG3,BICDL1,RRP8,MZT2B,CCHCR1,CNDP2,AKR1B1,BTBD2,CA5BP1,ARSF,RNF5,SZRD1,PRR7,ACOT8,FNDC11,TMEM251,SLIRP,LMBR1L,NFKBIB,MOB1A,RNF24,MKKS,DIMT1,TGOLN2,HMOX1,THRAP3,HLA-F,GNLY,MEF2A,NPL,SELPLG,LILRA6,RGS19,F3,DDX43,IGHV4-61,DNAAF5,AP3M2,ETNPPL,USP6,LARP4B,HERC1,PELP1,ELOVL6,SNAI2,BAIAP3,IL13RA2,OCLM,FAM76A,ESR2,CSDE1,MAP3K3,RNF123,SFTPB,VPS39,TNKS2,PAX6,TYRO3,AZI2,DTWD1,WDR26,DNAJC2,C4orf19,NUDCD3,CBX6,CNKSR1,FANCI,TXLNGY,NHLH2,PARP11,CHD1L,NCAPH,BAG3,SI,ACHE,TMSB15B,H2AFZ,ARHGEF16,SF3B4,C2CD2L,RBM5,SLC26A3,TUT4,ELMO2,MAK16,CSTF3,RPL36AL,SYNE3,TIMM23,NIF3L1,ORC2,CXCL6,CAV1,SERPINA3,ACPP,VEGFA,ZNF217,TBX2,CCN1,KANK2,C1RL,IL6,EPHX1,ZNF43,KIR3DX1,MLXIP,MMD,SGSM3,COL6A1,CLCN7,URGCP,DDX49
11,PFKFB4,SIX3,ERVMER34-1,CA6,SH3GL3,NF2,VWA8,CORO2B,TSPO,EIF3E,APBA2,SLCO2A1,,NT5C2,TOPORS,THEG,LINC00472,ASTN2,TWNK,SYCP2,PEBP1,ABAT,ZNF266,MDH1,RGS11,CHKA,ZNF780B,HIST1H4B,EMC8,METTL1,PDHA2,BYSL,NLE1,ARPC2,POLL,MST1,HAAO,MFAP1,MED13L,ANKRD10,TRIM52,CRADD,NFATC2IP,NIPA2,COL6A2,NPHP1,EYA1,MMP16,ADGRA3,NOL4,SPCS3,PWAR5,CCN4,NUDT11,NSG2,ENTPD3,HIVEP2,ENTPD6,GNAO1,SNAP25,KIF17,COL13A1,HK2,R3HDM1,AKAP5,MAP3K9,FANCC,GID8,MTHFD1,THBS2,PAK4,TIMM17B,JTB,MYO7A,EIF3K,CENPM,SNTG1,TSPAN12,LAMA3,STMN4,CLUL1,AQP1,EFNA4,CBARP,LAPTM4B,CKB,PDK3,ZNHIT1,GCNT1P1,HOOK1,TBCE,RPA3,GTF2I,ZMYND10,STT3A,PCNA,PEX1,PACSIN1,PIGCP1,NT5C1B-RDH14,MED15,ELK1,CAV3,MRPL2,EDA2R,SLC35E3,WASHC4,RIC8A,PGM1,CNOT9,PHKG1,BCL7B,FARSA,NAT10,CHCHD3,HSF1,RARB,TLE2,TRAFD1,ZBTB33,CXCR5,FCF1,MRPL40,CCDC91,RXRA,RPL23AP4,IGHV3-30,ASNSD1,IL32,SLAMF8,SCIN,FOXA2,SPI1,ADAM9,CLEC7A,RHBDF2,CFD,GPR132,CCR1,MBIP,IGHG2,PAPOLG,DERL2,NOP16,MARCKS,CDR1,CITED2,RPRD2,NTSR2,CSRNP3,DNAJA1P4,DMRT1,TNK1,PEX26,BRS3,DNAJC28,PLA2G4B,PDZD3,GDAP2,SRPK3,KRT85,FAM53B,KCNK7,TRPC3,VPS33B,GRIA4,ISOC1,ITPR2,ACOT7,PRKDC,CREBZF,CENPE,CHAF1B,DNAJC13,FSBP,UBE2Q1,CDC7,GINS4,GNA14,RIOK3,SRSF3,ANTXR1,TIGAR,KEL,KIAA0100,SETD2,SPINK4,COQ10B,FAM193A,TMEM40,MAP1B,EPHA5,ACP1,MEGF8,TMEM183A,LRRC42,ICAM1,OSBPL10,LAMB2,UGCG,SLC2A1,MAP7D3,SOD3,PPBP,CASD1,CITED1,CXCL1,TMEM106B,CORO1B,REC8,THADA,ELOVL4,DERA,BAHD1,SNRPF,PKN1,NDUFS7
12,CCN5,DMAC2L,KRT76,VENTX,CELP,MEFV,CD55,KIAA0355,STAM2,UBA52,PSMA1,PCDH12,,AKTIP,CBX8,TAF11,METTL7A,TRDC,RAB17,HPR,IPCEF1,NXPH3,TFB1M,SNX19,ASMTL,ATOH1,INKA2,WDR46,GPHN,DCTN2,TMEM147-AS1,ZNF646,PAQR3,OSTM1,COQ8A,OSBP2,BARX2,DGKD,PLGLB2,LCOR,MSANTD2,EXT1,KDM2A,PDP1,ABCC3,MT1X,2-Mar,SATB1,PDLIM4,PUM2,AKT3,FAAP24,STAMBP,TIMP1,RAP1GAP,SRBD1,NRGN,TBC1D30,CDH9,SYT2,CCK,CDK5R1,SLC16A1,TBR1,SEC61A2,NRIP3,WRAP53,ILKAP,HINFP,H1FX,ANKLE2,DPP8,UFC1,SGMS1,FMR1,MYBL2,OPCML,ELF4,PIR,ARHGAP33,PALMD,C2orf72,L1CAM,PDE4B,MEIS3P2,GNAS,C1orf61,ANKRD17,NEK4,CHMP2B,PSMD14,PRKCA,NAV2,MYH4,ROCK2,HK1,RPGR,ZNF232,CHMP1B,PROM1,RABGGTA,CRK,CHAT,DGCR6L,COA7,ZNHIT2,PNPLA2,COMMD9,SENP3-EIF4A1,SIPA1L3,DYRK4,POLR2J3,TRAPPC6A,CDK16,RPL10P9,C8orf33,DNAJA3,TMUB2,CPSF1,MFNG,LECT2,SPATA7,UQCR10,TMEM14A,RAB23,LY6G6C,ZFHX4,SRSF7,CAP1,STXBP2,CD72,TRIM6-TRIM34,TLR5,ITGAV,OLR1,GIMAP5,WHRN,HCK,CA2,GMFB,IGKV1-37,EN2,HSP90B1,ARCN1,EDEM2,SOCS2,LANCL1,MSL2,USH1C,INPP1,EXPH5,SOBP,CXCR3,HGH1,SLC1A7,USP48,MYMX,FKBP6,OSGIN1,QARS,RNF6,NPDC1,AJAP1,TSBP1,TANK,BMERB1,ZNF12,PTTG1IP,FAAH,PTPRE,TTK,FABP4,PUDP,CRABP1,CDKN3,EFL1,ANKRD36C,CDC6,NUP153,DUTP1,BUB3,ZNF213-AS1,LTA,DDX11,C2CD3,FMO3,NBPF3,MED12,C8G,CCNG1,WWC1,FAM149B1,MAPKAPK5-AS1,ADK,LRPAP1,NDC1,TNFAIP2,MAN2A1,IL1R1,SAT1,ADORA2B,NR2F1,FPR2,ELL2P1,B3GALT4,WWTR1,CSF3,OTUD3,KEAP1,BHLHE40,ZNF629,RGL2,IQSEC1,ZNF154,LRFN3,GNA11,SHPK
13,RAG1,MROH7,KCNH1,AMBP,CNTN2,CDYL,MAGI2,ZMAT3,CLEC10A,TRIM11,C11orf58,RIOX1,,SLC15A2,EIF2AK3,RASA4,GATM,RGS16,CFDP1,GPR75,ASRGL1,CERS4,ZNF609,ZNF276,VPS4A,VAX2,CADM4,GPATCH1,LMO4,TSPAN31,VPS33A,SFTPC,USP11,CTR9,COMT,MB,HIC1,GASK1B,USP7,MAP1LC3B2,TSHR,EIF4G3,GRIP1,KIF1BP,DEPP1,SLC43A3,RPP38,IMPA2,DNASE1L1,MYO16,PDCD4,HEY2,QPRT,CHRNA2,LIN7B,DUSP9,SLC25A4,ROBO3,GNG13,GABRA2,SV2C,THAP10,NGLY1,INPP4A,PROC,ZNF134,ASF1B,HTRA2,TMEM97,PRRT2,LMNB2,CTDSPL,EMC6,RRP1,ZNF593,KIFC1,TTC9,P4HA2,S100B,SHROOM2,APBB2,,DAB1,SEMA5A,POLR2F,CRB1,IGF2R,ATRAID,PEX12,ASF1A,WASF2,ANKMY2,ANKRD11,ZC2HC1C,KRT10,PIGC,HIST1H2AM,RNMT,CHRNB1,C11orf68,SMG9,SEC22B3,OCRL,RAB4B,NEDD4,MIS18BP1,MLPH,SMPD1,UPK1A,U2AF2,PLA2G4C,MEPCE,ZNF771,IDH3G,PABPC1P3,PDE6D,NUBP1,MRPL4,DCAF15,OSBPL9,POLR1D,SEC23A,DLEU1,CALM2,C2orf49,UQCRQ,TEP1,OXSM,AZGP1,FCER1G,CAND2,SP110,ARHGAP45,IFI16,ADD3-AS1,RGS10,IMPG2,SLCO2B1,HOPX,INE1,IGLL3P,GUSB,ATP2B2,PHLDA2,RPL22,WDR37,NRP1,BET1L,BLCAP,ATRN,VPS13D,KRT7,TNS2,ADAM5,SLC30A4,RBM39,ZNF337,MTMR14,TRAK1,RTN4,LARP4,PRODH,SMIM10L1,SNX27,TRAM1,HECTD4,PHF14,PRR5L,UBXN4,TNIK,MELK,CHAF1A,ZFX,MRAS,TMEM39A,OR12D3,ZNF329,C1orf109,PHLDA3,ZCCHC24,RAD1,PPIH,ADGRL1,ACIN1,GOLGA8B,FNBP4,CHERP,ANKZF1,LDB1,NKIRAS2,GFPT2,VPS26A,DYNC2H1,COL5A3,EEA1,RBBP4P1,BDKRB2,GSAP,WBP1LP2,FUBP1,SLC2A3,TGFBR3,NXPH4,SEPHS1,NIBAN1,SNX10,CCL8,TVP23B,ZNF516,SLC47A1,HYOU1,TTLL4,SLC2A11,TAZ,CEL,HOOK2,FKBP10
14,VCPKMT,RMDN1,ZBTB7B,TCFL5,TMEM63A,SMAD3,SOX9,DGKG,MOCS2,RPL26P37,ACTL7B,LBH,,PHTF1,ACO1,ZMYM6,LGI1,TP73,CHD9,ZNF606,NR1D1,PFKM,HPS6,TUBA1A,INO80B-WBP1,PANK4,SPG7,ENAH,NETO2,XIAP,NUP50,CKAP5,C17orf80,SLC22A6,CYB5R3,SAP30BP,SEC14L3,LRCH3,RNF19B,MYL2,CSPP1,CBLB,KRT5,ZSCAN12,CNN2,MT1G,KIF5B,TNKS,YIPF1,REXO2,CD63,RAP2A,ZNF334,ITGA7,MAST1,BTN2A2,CACNB3,MAP2K1,BSN,PARP8,ATP8A2,TRIM56,ZNF571,HRH3,MEF2C,BHLHB9,KCNJ3,OSBPL1A,CTPS1,CCT3,CAT,RASGRP1,OSER1,MRGBP,ATF6,SUV39H2,KDELR3,CDK2AP1,LRRTM2,DGKI,ARHGEF7,,MAP3K1,ZCWPW1,SLC2A10,NABP1,ABCC1,UBR2,SPAG1,PTP4A1,STX2,DNAJB9,FAM160B2,DNAAF1,MCTS1,TMEM168,KRIT1,PPP4R1,STK16,COL10A1,CHAC1,OTUB1,STARD7,ZNF473,PCYT1B,CEP290,INHA,TRIM33,MLST8,MKRN1,DUSP22,RNF216,ERCC2,NPLOC4,PITX1,ING2,ZFYVE21,UQCRC1,RRN3,PRX,GPN3,PSMA6,COL21A1,LGI2,ECHDC1,HSBP1,COX5A,RAP1GDS1,FHL3,AGMAT,GDF7,HLA-J,RNF125,CTSC,FYB1,ZNF84,HCLS1,MS4A5,TLR3,MICB,IGKV3-20,PDIA4,KIF1B,PAH,PELI2,VOPP1,PDIA6,HACD1,SSTR2,MAPT,PFKFB2,DSG2,LINC01565,DRP2,PDPR,CCNT2,MEGF6,FTCD,ISL1,TJP3,NUTF2P2,RNF208,RASA3,GABRQ,TWSG1,HTT,TMEM242,PDLIM5,GNB1,CBLL1,CEP57,VASH2,BRCA1,,SLC4A1,STX6,HSD17B8,CDK2,ZC3H7A,RBBP8,DCLRE1A,EIF1AX,CHRNG,B4GALT2,TBC1D16,TAPT1,USP13,RAD52,SART1,ADCY6,SLC25A15,STAM,NUS1P2,MRPS16,IL6ST,NUDT21,KCNQ4,VAMP7,MAN1C1,TPST2,HTN3,FZD1,FBLN5,IL1RN,SLC49A3,MLYCD,AGTR1,NSMAF,NFKB1,PCBP4,CLEC16A,DCP2,PPP2R5B,GFRA1,MACF1,RRAS2,GTPBP6
15,NPAS2,ACADM,RFX3,CPB1,FAM107A,MBD1,LEPROT,TMEM59L,C2orf68,RPS13,SLC35E2A,ITGA8,,RIDA,CCT8,RNF7,LPAR1,SFRP5,,ZNF302,SNHG14,ATG4A,OSBP,ZNF224,NFKBIL1,UBAP1,TYW1,ZNF180,GLRX5,IGHM,PHF21A,PCSK7,ARL8B,CTIF,PIP,AGGF1,EXD3,RAPGEF6,FOXO3,EVX1,XYLT2,KPNA4,LUNAR1,THNSL2,TBX19,RGN,KIN,BLVRB,ANGPTL7,ATP6AP2,ZBTB18,UTP14C,S100A10,PHKA1,PDE1A,CST6,MTUS2,DENND4C,RAI2,STMN2,PRSS3P2,HDGFL3,CHSY1,SELENBP1,RAPGEF4,TRHDE,DUS2,TRAK2,GAS1,FGD1,ZZEF1,PURA,POLR3K,TOMM40,GET3,EXOSC2,TTC39A,REEP2,ADGRL3,MARCKSL1,AFF2,,TRAF6,ROBO1,RAB33A,FADS2,GBAP1,R3HDM2,CCDC181,METTL18,NKX3-2,DLD,DENND5A,SPAG8,PCBP2,HSPB11,NDST1,PPM1D,NAPG,MAP3K12,PKN2,NOL12,ADIPOR1,PEMT,TREX1,MPI,MUC5B,MAP3K13,SLC25A6,ZKSCAN5,CSRP1,ABHD11,MAP2K2,ADCY3,RPL3,PLEKHO1,UBE2B,TASP1,U2AF1L5,TNS4,PCDHA3,MMP8,NDUFA6,ZMIZ2,E2F6P2,ATP5ME,GJB3,LIPT1,RRAS,SLC2A5,OSTF1,PARP12,BSPRY,CROT,C3AR1,SIPA1,SLC11A1,SIGLEC8,PHF11,STK17B,PRRG4,TMEM209,DOCK3,DAAM2,ZNF654,ARL4A,SEMA3F,MTMR4,FAM182B,MYL12A,MFN2,GCHFR,PRR14L,WDR44,MAPK11,EPRS,COL11A2,YIPF3,SLC25A21,TMEM53,MAPK1,ATP6V0E2,SSBP3,ZNF354A,GNAI3,SRY,PDK2,SLC1A2,BACH1,CUL1,EDF1,PTMAP9,NRG1,,RECQL4,PSMD1,PEG10,ACSM5,SUCO,IFNA1,MLEC,MED21,CD9,TOP3B,CYP2F2P,GPATCH8,RAB11A,POLR3E,TSC2,ACTR5,KLF3-AS1,ETV7,C1QBP,USP4,RAB1A,KCNK2,IL24,PYGL,FDFT1,MAP2,SLC2A14,ATP10D,SLPI,CCL3,PRPSAP2,BCL3,SAA4,LTN1,CSK,CALD1,PIGQ,MTF1,TRIM15,F8A1,CCDC154,TM4SF5,ATP13A1
16,ADRA1D,RGS14,KRT12,NSUN7,SNX1,CLCA3P,KANK1,MTAP,GTF2F1,NDUFA8,MCF2L,PSAT1,,ADD3,UAP1,BRIX1,TMEM9B,NRL,,MYOM2,NAP1L2,TIMP3,CCL24,GTF2B,VAC14,SLC7A1,NUMA1,HNRNPD,SHMT2,ATP2C2,EXOC3,SPAG11B,FAM168B,MVD,ZNF345,OR1A2,,NOP14,DDX42,GYPE,LUC7L2,PHF3,PBX2,ARHGAP19,MEF2D,AOX1,CDV3,AFAP1,FUT4,PDZRN3,ZNF423,RGS3,SYNPO,MICALL2,CTNNA1,CAMK2A,RFPL1S,UCHL1,DLG2,SEPTIN11,ANO3,ACADS,RCN1,PPP1R13B,ZNF365,CAMK1G,NPPB,DCTPP1,SERHL,FBL,ARNTL,ATG14,BGLAP,TRHR,TIMM44,CDC25C,PTK2,GPM6A,BAALC,CACNG4,COL8A2,,PMAIP1,PHKB,ERAP1,ARHGEF5,BRINP3,DPM3,GDPD2,RWDD2A,STX16,BEAN1,ZG16,CCDC170,ATP6V1G1,CLSTN1,MAGIX,THAP12,TOR1AIP2,DNAL4,SSB,RNF126,GPR176,FIBP,DBNDD1,TOLLIP,DNAJA4,TRMT1L,PKMYT1,SAPCD1,MAOB,TAF6,NRSN2,ATP6AP1,RPL4,DGAT1,ZNF234,NEK1,METTL8,LYPD3,PRKG1,FKBP3,EAPP,CACNA1S,HSPE1,MRPS22,NARS2,ZGPAT,IQCJ-SCHIP1,RNASE6,SPP1,BTN3A2,STAT5A,KCNH2,CD53,LRRK1,STRAP,ATP11A,NEDD9,CHMP4A,IGLV3-10,TEX2,SNN,HMGA1,KMT5B,MSRB2,RUNDC3B,ARIH1,TBCEL,ZIC3,F12,OPN3,DHX58,C15orf39,DPYS,PAXBP1,GLB1L2,MINK1,SMAD5-AS1,UBE2F-SCLY,NUCB2,TRAPPC11,USF2,SEC31B,SLC33A1,TM7SF2,FKBP14,SLC4A4,PTK2B,MYBL1,TSTD2,SIM2,UTY,,CCNF,DARS2,C1orf35,ARHGEF6,ZNF799,USP1,TOR3A,RETN,SMARCC2,SSRP1,TMC5,EIF4A1,NBPF14,PALB2,FUT11,SARM1,SEC62,ARL3,SLC25A5,ZNF573,MAN2B2,YBX1P1,BIRC3,BCL7A,CYP1B1,CNTN1,AKAP12,SULF1,NDUFA4L2,JUNB,FHOD1,SLC27A6,VCAM1,CAMKK2,STK11,USP36,CACNA1G,KDM4C,PORCN,DNM2,HGSNAT,VEZT,IRS1
17,FBP1,METTL5,SLC22A8,NDST4,PKP4,IPO8,NT5E,C11orf49,LRRC36,RPL35A,HEXB,NPR1,,SYBU,MRPS30,ATP1B3,PRNP,DUSP5,,KBTBD11,RNF141,JAKMIP2,KYAT3,NPTN,NDUFV1,KCTD15,SNF8,ELF2,ARL2BP,ZBTB39,CELF1,MAGEA12,ZNF586,ZNF267,CBL,ATP2B1,,POLH,NNAT,ZNF440,RALB,RPS6KB1,IL2,STX3,TK2,SEMA3E,NMT2,SH3BP4,PPP1R3D,ZNF804A,GDF15,BTN2A1,PTCD3,CD151,RIMS2,MCTP1,YWHAB,DIO2,RHOBTB2,PNOC,RIMBP2,CDK5R2,EGLN3,CBFA2T3,GRP,PCLO,IDH2,HMBS,PLEKHF1,NT5DC2,PPARGC1A,TOB2,NIT1,ABCB8,TMED1,NPPA,AUH,NLGN3,HEY1,DBN1,OLIG2,,CFH,NKX2-2,PPP2R2A,,VPS37C,TIPIN,SFXN3,TRMT11,GGH,MIOS,GPLD1,MSX1,CKLF-CMTM1,MS4A1,SASH1,PICK1,CCL27,UBE2L6,ITPA,KCTD17,DPAGT1,PIH1D1,RIPK1,OSBPL8,CEP63,MCM3AP-AS1,CTRC,EXO5,ATP9B,PMS2P3,COPS7A,KCTD2,RPLP0P6,ARL2,GCC1,ERAL1,SLC5A6,USP21,NPM1,CCND3,GRK5,STK38L,CCNB1IP1,COX4I1,METTL9,SS18L2,CRYBG1,NCF4,C5AR1,PBOV1,NCKAP1L,RNASEH2B,C3,MERTK,MKNK1,LAMP1,APOL3,PNMA1,IGKV1-39,KDELR2,GRK3,CYP46A1,RALGAPA1,EIF4B,PELO,OXLD1,MTCH1,NOP10,CD38,C1QTNF3,KCNQ1DN,MRM1,UPK1B,CHRDL1,SOCS5,TMEM120B,HCG9,COG4,TAL1,WFDC1,MPP2,G3BP1,,IARS2,PMS2,ABCD2,CEND1,ECT2,ODF2,DKC1,TTTY14,,SORL1,KDM4A,RADX,BTG3,PGM3,PLAAT2,TRA2B,,AVEN,NUP210,MTNR1A,RARA,EIF2B5,ZMYM3,GBF1,KLHL25,HMGN2P17,EPHA7,VPS26C,ACAA2,RABGAP1L,GTF3C3,CSF2,SRPX,DIRAS3,ARL4C,ERO1A,ECM2,MYL9,CCL4,MKNK2,LTF,TREM1,LINC02172,ARHGEF18,MICU1,CBX4,GRTP1,EFHD2,HIST1H2BL,PARN,DDX54,TIMM13
18,TNNC1,NMT1,PIWIL2,XCR1,GDPD5,EXOG,NAT2,EMCN,GPR78,RIN1,YES1,FN1,,MAP3K5,HMGN2P9,FOXB1,JAM2,ALDOC,,ZNF350,FGF14,TTYH1,IGF1R,RNF115,SEZ6L,ABCA3,GTF2IRD1,HAUS3,PRPSAP1,OS9,DCP1A,EVC,PPP1R26,PATZ1,UBE2L5,LARP7,,NGF,SEMA3D,HAL,SPAG6,HSD17B1,BRD2,SHLD2P1,EXTL2,CBR1,ABI1,CCNJ,MYOD1,FGF12,ULK2,ELOA-AS1,EMP3,IFNGR2,CHGB,GRM3,GUCY1B1,CD200,NDUFB2-AS1,ADCY1,RASAL1,ACSM2A,KDM3A,CRHBP,PPP3CB,GFOD1,RHOQP3,BPHL,PDCL,RNPS1,SCRG1,MYO6,ORMDL2,DIAPH2-AS1,MRPL34,TK1,ZFAND5,SLC37A4,CXorf40A,RNF144A,CFHR5,,RIPK4,ADGRG1,CYTL1,,ECPAS,RBM3,LZTFL1,KPNA5,UNC5C,SDHAF3,CUEDC1,DRC3,UXT,ITGB3BP,CRCP,ADNP2,APEH,MED9,RHOBTB1,EIF2AK1,ALG3,ITGB1BP2,BAD,ATP6V0C,E2F4,MFSD5,BCS1L,RSPH10B,FGF1,FASTK,PPP2R1A,SCMH1,TMEM100,EIF5A,HSD17B4,MRM3,GRK6,TXLNG,POLR3F,GLI3,SLC25A17,SOX18,HAT1,CHRNA7,UQCRFS1,CREB3L2,CFLAR,VSIG4,PARP4P2,BTN3A3,FGL1,CCL18,CD1D,SPDEF,UBA7,IRF5,PCBP3,KLF8,BPESC1,,,ASTE1,TSPAN5,LANCL2,LUZP2,ARVCF,CHST1,ARPC3,DLEC1,SDC1,TAX1BP1,PCNP,S100A5,MGA,SLC29A2,FN3KRP,PRPF19,CHMP1A,RAB35,PALM,FAIM2,ARFGAP3,,FIG4,IMMT,PTPRA,EEF1A2,PAXIP1,LBR,EXOC1,TENT4A,,BRMS1,WNT5B,EXOSC10,TTN,DEK,MAFK,PUS7L,,DHTKD1,CCDC87,GOLGA8CP,RALGPS2,DCAF7,TARS2,PPRC1,PCGF2,PARP1,ZSCAN5A,TMED2,5-Mar,DICER1,USP3,DOK2,NGDN,CFI,MPZL2,GPD1L,CLEC5A,ITGA1,FOSL1,PYGO2,SPIDR,CXCL8,GALT,ZNF117,P2RX7,SLC35E1,PRSS1,PPP6R2,ZNF185,TNIP2,TNPO2,HMG20B
19,PTPN18,SETMAR,SSX3,MLLT10P1,USP6NL,GFI1B,MKLN1,NBAS,PPARGC1B,RPL17,MAMLD1,BASP1,,IFNAR2,KCNJ10,ABLIM1,POLR1E,CXADR,,EDN3,PIGZ,HIST1H3D,ZNF667,TTC21B,VIPAS39,OR10H2,CHUK,PYGO1,ATR,CDK4,C1orf159,PRPF8,CHPT1,CHRM2,MTMR3,KBTBD2,,WDR55,ZNF514,HOXB9,RAB3GAP1,EPM2AIP1,RFX4,SIRT1,CNR1,HTATIP2,MOXD1,CHD7,FHL2,KIT,CDKN1A,AOPEP,ASL,MAP3K6,ACTL6B,CCNO,IRX4,FRS3,MYOT,BTBD8,KCNV1,RAB3A,FBXO16,GK,TMEM268,PTPRR,EPB41L4B,PSMA7,ARL4D,MAD2L1BP,DAZAP1,ATP6V0A2,NME2,HIST1H3A,ZCCHC2,FOXM1,DNM3,FAM131B,TSC22D1,ZNF821,CBSL,,CELSR3,NCAN,RREB1,,GET1,TRIAP1,HIBCH,VDAC1P8,CACYBPP2,CAPZA2,CPS1,NEK11,NTRK3,MRPL22,KIAA0895,UNC13B,BCAS4,SLC38A2,ENO1,PTPRK,ELF3,TMEM147,FDXR,TMPRSS11D,TAAR5,MMUT,PHB2,GRWD1,GPRC5C,GAPDHS,ZNF671,BCAP31,EIF3L,MCM9,HDAC6,TLCD3A,NOL9,CWC25,RETREG3,RTRAF,SNRPD3,SKP1P1,GOLT1B,TIMM10,SRP9P1,CCT6B,YAF2,STAB1,ADAP2,PSMB9,LILRA1,MBNL1,RB1,CSF1R,FCGRT,LCP1,MEAF6,COX11,IGHV3-7,,,SIPA1L1,SPAG9,ENTPD1-AS1,SPOP,ZNF518A,AKAP6,LDOC1,DAPK1,PERP,SOX5P1,PEX14,IFNG,CCNL1,MAN2C1,ZSCAN18,SORBS3,GPAA1P1,ERMP1,USP2,ADD1,HIST1H1A,,GSTT2B,MYLIP,PLCD1,NAA50,FANCG,CCNE2,DTL,ZNRF4,,TACC3,INTS3,XPNPEP1,APOBEC3A,ZNF184,RPLP2P1,C4A,,PPP1R9A,DFFB,TBL1X,SFSWAP,MICAL1,ARID1A,CMTR1,PCDHB6,SNRPC,GDI2,NRG2,COL16A1,FYCO1,CREB1,APOL1,HOXB6,C7,MAGEF1,ANGPTL4,PTHLH,FCN3,HES1,DNAJC1,ABCA1,DOK5,SH3TC2,NR2F6,C1QL1,HS3ST3B1,EML3,LMX1B,EFNB1,CTNND1,GTPBP3,TPTE
